item_type,dimensions,material_type,labor_hours,quantity,finish_type,urgency_level,price
modular TV unit,85x59x41,brass,6.0,1,pu polish,standard,11300.0
wooden partition,26x13x87,particle board,44.8,1,raw,rush,25700.0
wooden chair,61x29x54,particle board,37.2,1,matte,express,21000.0
wooden dining table,80x52x62,teak wood,17.3,3,matte,express,72100.0
lounge sofa,27x27x62,aluminium,40.1,1,matte,rush,26300.0
glass coffee table,88x55x17,engineered wood,33.9,1,natural polish,rush,22900.0
study desk,84x15x53,sheesham wood,17.8,1,natural polish,express,17200.0
steel bookshelf,13x52x74,particle board,23.5,2,gloss,rush,39100.0
bed frame,74x31x25,steel,10.6,1,charcoal finish,express,12600.0
brass showpiece,12x12x92,brass,19.6,1,raw,rush,18900.0
wooden wardrobe,85x37x35,steel,33.0,1,melamine,standard,16500.0
wooden dining table,67x51x37,steel,33.9,1,matte,rush,23800.0
wooden dining table,66x55x46,sheesham wood,35.8,2,matte,standard,62300.0
modular TV unit,50x25x75,teak wood,25.8,1,gloss,express,24200.0
brass showpiece,16x51x95,brass,21.9,1,matte,express,22000.0
wooden wardrobe,48x32x27,particle board,18.5,1,melamine,rush,13900.0
brass showpiece,77x46x20,teak wood,14.8,1,charcoal finish,standard,18100.0
wooden chair,43x51x92,teak wood,29.3,1,pu polish,rush,28100.0
wooden dining table,39x20x92,iron,12.5,1,matte,express,8300.0
wooden wardrobe,20x56x47,sheesham wood,25.3,1,natural polish,standard,16600.0
executive office chair,24x10x48,iron,42.6,1,gloss,rush,26700.0
wooden chair,50x33x40,steel,6.9,1,melamine,standard,9700.0
glass coffee table,64x10x76,cane,5.0,1,gloss,standard,5800.0
glass coffee table,27x34x68,steel,25.0,1,natural polish,express,18500.0
executive office chair,62x50x85,particle board,9.9,1,pu polish,standard,13700.0
executive office chair,57x39x71,glass,40.8,2,natural polish,standard,44600.0
iron table,87x56x71,sheesham wood,38.5,1,pu polish,express,38900.0
wooden chair,56x24x34,iron,26.0,5,gloss,standard,80200.0
glass coffee table,89x49x73,glass,18.1,1,natural polish,express,19000.0
modular TV unit,20x37x45,iron,35.2,2,pu polish,standard,41000.0
teak rocking chair,69x46x59,engineered wood,31.1,1,matte,express,23100.0
wooden chair,75x53x43,glass,30.5,1,melamine,rush,24600.0
bed frame,28x25x17,brass,35.3,1,melamine,express,24200.0
steel bookshelf,53x21x56,steel,32.6,1,pu polish,express,20100.0
cane stool,51x54x73,sheesham wood,39.4,2,natural polish,standard,55400.0
bed frame,61x21x37,teak wood,36.2,1,gloss,express,25500.0
lounge sofa,78x47x81,brass,16.0,1,matte,rush,29800.0
steel bookshelf,38x45x21,aluminium,30.5,1,pu polish,standard,14500.0
wooden partition,81x33x90,engineered wood,11.3,1,charcoal finish,rush,17600.0
wooden partition,32x41x49,brass,29.1,2,pu polish,standard,42000.0
iron table,70x49x43,brass,30.7,1,matte,express,28200.0
wooden chair,59x36x34,brass,42.1,3,melamine,express,92800.0
executive office chair,46x40x29,aluminium,15.7,1,natural polish,standard,11200.0
wooden dining table,86x39x62,steel,2.7,1,natural polish,express,10800.0
lounge sofa,43x24x72,sheesham wood,28.9,1,gloss,standard,23100.0
modular TV unit,40x28x57,glass,8.0,1,matte,standard,7700.0
brass showpiece,66x37x83,sheesham wood,22.2,1,natural polish,express,25200.0
iron table,53x29x52,engineered wood,4.3,1,pu polish,standard,8500.0
executive office chair,65x27x89,iron,23.5,1,natural polish,rush,18600.0
study desk,85x31x79,particle board,27.8,1,matte,express,19600.0
cane stool,58x26x60,brass,2.8,1,pu polish,express,7700.0
wooden chair,23x49x34,cane,25.0,4,natural polish,rush,77700.0
modular TV unit,77x45x68,iron,27.5,1,melamine,standard,19800.0
wooden wardrobe,41x26x69,engineered wood,30.3,2,melamine,express,38600.0
executive office chair,84x44x65,sheesham wood,40.6,1,natural polish,standard,33200.0
brass showpiece,31x48x67,particle board,37.1,4,charcoal finish,rush,106500.0
modular TV unit,61x16x72,glass,22.2,1,pu polish,rush,18000.0
modular TV unit,14x46x54,engineered wood,2.4,1,charcoal finish,standard,4700.0
cane stool,67x19x53,sheesham wood,17.2,1,melamine,express,15600.0
wooden dining table,15x40x78,steel,44.4,1,gloss,express,26500.0
wooden partition,73x14x78,cane,23.7,1,natural polish,express,15700.0
glass coffee table,68x51x67,cane,21.7,1,matte,standard,14000.0
iron table,26x51x29,glass,7.4,1,raw,standard,7800.0
teak rocking chair,88x25x87,sheesham wood,22.8,1,raw,express,22600.0
bed frame,59x27x30,cane,21.5,1,matte,rush,17300.0
cane stool,17x28x91,teak wood,23.1,1,matte,standard,17000.0
wooden wardrobe,83x34x91,engineered wood,8.1,1,raw,rush,13100.0
cane stool,39x12x94,steel,41.9,1,pu polish,rush,26600.0
cane stool,43x44x24,particle board,5.7,1,pu polish,express,5700.0
wooden partition,52x40x36,steel,28.8,1,pu polish,standard,16700.0
iron table,65x45x15,teak wood,6.0,1,raw,standard,10300.0
cane stool,34x55x86,iron,12.2,1,natural polish,standard,11500.0
executive office chair,39x34x75,cane,23.0,1,melamine,standard,12400.0
wooden partition,24x41x27,teak wood,34.8,1,pu polish,rush,29700.0
brass showpiece,84x19x67,teak wood,3.5,1,natural polish,rush,16300.0
teak rocking chair,12x53x89,engineered wood,12.2,1,matte,express,10000.0
bed frame,68x17x86,teak wood,31.9,3,melamine,express,87800.0
modular TV unit,54x40x31,glass,25.9,1,natural polish,rush,18300.0
steel bookshelf,61x47x51,sheesham wood,20.5,1,charcoal finish,express,20100.0
wooden chair,60x30x80,glass,42.1,1,natural polish,rush,32400.0
study desk,67x47x42,teak wood,42.7,2,pu polish,rush,84700.0
modular TV unit,24x41x95,teak wood,28.8,1,natural polish,express,24100.0
glass coffee table,67x37x15,aluminium,44.6,1,raw,rush,28300.0
wooden partition,38x18x30,sheesham wood,13.7,1,gloss,express,12900.0
lounge sofa,78x33x87,particle board,34.4,1,charcoal finish,express,24600.0
glass coffee table,69x36x94,glass,21.9,1,melamine,rush,23400.0
steel bookshelf,61x29x26,aluminium,15.5,3,charcoal finish,express,35500.0
wooden chair,41x12x35,brass,37.7,1,matte,express,31500.0
steel bookshelf,26x55x66,teak wood,29.2,1,raw,express,23500.0
teak rocking chair,58x32x82,aluminium,6.6,1,melamine,express,13200.0
wooden wardrobe,51x59x24,sheesham wood,2.5,1,charcoal finish,rush,14100.0
executive office chair,64x46x70,steel,27.2,1,gloss,standard,18600.0
teak rocking chair,41x20x90,iron,35.9,2,matte,rush,44100.0
modular TV unit,69x30x70,particle board,4.2,1,charcoal finish,rush,8900.0
teak rocking chair,51x46x15,teak wood,26.8,1,charcoal finish,express,21300.0
steel bookshelf,19x56x31,teak wood,11.0,1,pu polish,express,10400.0
wooden wardrobe,17x44x28,teak wood,36.8,1,pu polish,standard,26700.0
study desk,46x15x83,teak wood,31.4,3,charcoal finish,standard,71700.0
modular TV unit,70x59x32,engineered wood,41.9,1,pu polish,express,24200.0
executive office chair,26x28x77,cane,30.5,3,raw,rush,64300.0
glass coffee table,43x57x58,engineered wood,28.3,2,raw,rush,49400.0
brass showpiece,43x45x27,iron,25.1,1,matte,rush,17900.0
wooden partition,15x54x42,engineered wood,32.5,1,natural polish,express,22500.0
wooden wardrobe,42x18x59,sheesham wood,4.2,2,charcoal finish,rush,15700.0
glass coffee table,68x25x44,cane,24.8,1,gloss,standard,14900.0
brass showpiece,56x32x83,iron,42.6,1,natural polish,express,26200.0
bed frame,17x41x32,engineered wood,25.5,1,melamine,rush,21200.0
steel bookshelf,74x12x25,aluminium,32.0,1,raw,express,17700.0
wooden chair,43x31x84,particle board,7.7,1,natural polish,standard,8300.0
brass showpiece,71x21x28,aluminium,7.2,1,natural polish,standard,5500.0
brass showpiece,58x14x61,aluminium,41.4,1,natural polish,standard,21100.0
iron table,85x23x72,sheesham wood,36.6,1,charcoal finish,standard,25500.0
lounge sofa,21x44x89,glass,37.9,1,raw,express,25700.0
brass showpiece,75x11x90,cane,41.9,1,matte,express,25100.0
study desk,70x35x30,teak wood,35.9,1,natural polish,express,26000.0
wooden partition,15x48x16,aluminium,25.0,1,raw,standard,16100.0
wooden partition,57x49x26,sheesham wood,9.0,1,charcoal finish,rush,18700.0
wooden chair,19x14x94,sheesham wood,4.2,1,raw,standard,10500.0
steel bookshelf,82x54x66,cane,21.0,1,pu polish,express,21500.0
wooden partition,63x28x91,engineered wood,36.6,1,charcoal finish,express,23100.0
brass showpiece,81x45x16,engineered wood,31.2,1,melamine,standard,15100.0
wooden dining table,24x52x76,glass,16.8,4,charcoal finish,express,45500.0
wooden dining table,30x47x84,engineered wood,36.0,2,matte,rush,44400.0
