item_type,material_type,labor_hours,quantity,finish_type,urgency_level,price,length,width,height
modular tv unit,brass,6.0,1,pu polish,standard,11300.0,85,59,41
wooden partition,particle board,44.8,1,raw,rush,25700.0,26,13,87
wooden chair,particle board,37.2,1,matte,express,21000.0,61,29,54
wooden dining table,teak wood,17.3,3,matte,express,72100.0,80,52,62
lounge sofa,aluminium,40.1,1,matte,rush,26300.0,27,27,62
glass coffee table,engineered wood,33.9,1,natural polish,rush,22900.0,88,55,17
study desk,sheesham wood,17.8,1,natural polish,express,17200.0,84,15,53
steel bookshelf,particle board,23.5,2,gloss,rush,39100.0,13,52,74
bed frame,steel,10.6,1,charcoal finish,express,12600.0,74,31,25
brass showpiece,brass,19.6,1,raw,rush,18900.0,12,12,92
wooden wardrobe,steel,33.0,1,melamine,standard,16500.0,85,37,35
wooden dining table,steel,33.9,1,matte,rush,23800.0,67,51,37
wooden dining table,sheesham wood,35.8,2,matte,standard,62300.0,66,55,46
modular tv unit,teak wood,25.8,1,gloss,express,24200.0,50,25,75
brass showpiece,brass,21.9,1,matte,express,22000.0,16,51,95
wooden wardrobe,particle board,18.5,1,melamine,rush,13900.0,48,32,27
brass showpiece,teak wood,14.8,1,charcoal finish,standard,18100.0,77,46,20
wooden chair,teak wood,29.3,1,pu polish,rush,28100.0,43,51,92
wooden dining table,iron,12.5,1,matte,express,8300.0,39,20,92
wooden wardrobe,sheesham wood,25.3,1,natural polish,standard,16600.0,20,56,47
executive office chair,iron,42.6,1,gloss,rush,26700.0,24,10,48
wooden chair,steel,6.9,1,melamine,standard,9700.0,50,33,40
glass coffee table,cane,5.0,1,gloss,standard,5800.0,64,10,76
glass coffee table,steel,25.0,1,natural polish,express,18500.0,27,34,68
executive office chair,particle board,9.9,1,pu polish,standard,13700.0,62,50,85
executive office chair,glass,40.8,2,natural polish,standard,44600.0,57,39,71
iron table,sheesham wood,38.5,1,pu polish,express,38900.0,87,56,71
wooden chair,iron,26.0,5,gloss,standard,80200.0,56,24,34
glass coffee table,glass,18.1,1,natural polish,express,19000.0,89,49,73
modular tv unit,iron,35.2,2,pu polish,standard,41000.0,20,37,45
teak rocking chair,engineered wood,31.1,1,matte,express,23100.0,69,46,59
wooden chair,glass,30.5,1,melamine,rush,24600.0,75,53,43
bed frame,brass,35.3,1,melamine,express,24200.0,28,25,17
steel bookshelf,steel,32.6,1,pu polish,express,20100.0,53,21,56
cane stool,sheesham wood,39.4,2,natural polish,standard,55400.0,51,54,73
bed frame,teak wood,36.2,1,gloss,express,25500.0,61,21,37
lounge sofa,brass,16.0,1,matte,rush,29800.0,78,47,81
steel bookshelf,aluminium,30.5,1,pu polish,standard,14500.0,38,45,21
wooden partition,engineered wood,11.3,1,charcoal finish,rush,17600.0,81,33,90
wooden partition,brass,29.1,2,pu polish,standard,42000.0,32,41,49
iron table,brass,30.7,1,matte,express,28200.0,70,49,43
wooden chair,brass,42.1,3,melamine,express,92800.0,59,36,34
executive office chair,aluminium,15.7,1,natural polish,standard,11200.0,46,40,29
wooden dining table,steel,2.7,1,natural polish,express,10800.0,86,39,62
lounge sofa,sheesham wood,28.9,1,gloss,standard,23100.0,43,24,72
modular tv unit,glass,8.0,1,matte,standard,7700.0,40,28,57
brass showpiece,sheesham wood,22.2,1,natural polish,express,25200.0,66,37,83
iron table,engineered wood,4.3,1,pu polish,standard,8500.0,53,29,52
executive office chair,iron,23.5,1,natural polish,rush,18600.0,65,27,89
study desk,particle board,27.8,1,matte,express,19600.0,85,31,79
cane stool,brass,2.8,1,pu polish,express,7700.0,58,26,60
wooden chair,cane,25.0,4,natural polish,rush,77700.0,23,49,34
modular tv unit,iron,27.5,1,melamine,standard,19800.0,77,45,68
wooden wardrobe,engineered wood,30.3,2,melamine,express,38600.0,41,26,69
executive office chair,sheesham wood,40.6,1,natural polish,standard,33200.0,84,44,65
brass showpiece,particle board,37.1,4,charcoal finish,rush,106500.0,31,48,67
modular tv unit,glass,22.2,1,pu polish,rush,18000.0,61,16,72
modular tv unit,engineered wood,2.4,1,charcoal finish,standard,4700.0,14,46,54
cane stool,sheesham wood,17.2,1,melamine,express,15600.0,67,19,53
wooden dining table,steel,44.4,1,gloss,express,26500.0,15,40,78
wooden partition,cane,23.7,1,natural polish,express,15700.0,73,14,78
glass coffee table,cane,21.7,1,matte,standard,14000.0,68,51,67
iron table,glass,7.4,1,raw,standard,7800.0,26,51,29
teak rocking chair,sheesham wood,22.8,1,raw,express,22600.0,88,25,87
bed frame,cane,21.5,1,matte,rush,17300.0,59,27,30
cane stool,teak wood,23.1,1,matte,standard,17000.0,17,28,91
wooden wardrobe,engineered wood,8.1,1,raw,rush,13100.0,83,34,91
cane stool,steel,41.9,1,pu polish,rush,26600.0,39,12,94
cane stool,particle board,5.7,1,pu polish,express,5700.0,43,44,24
wooden partition,steel,28.8,1,pu polish,standard,16700.0,52,40,36
iron table,teak wood,6.0,1,raw,standard,10300.0,65,45,15
cane stool,iron,12.2,1,natural polish,standard,11500.0,34,55,86
executive office chair,cane,23.0,1,melamine,standard,12400.0,39,34,75
wooden partition,teak wood,34.8,1,pu polish,rush,29700.0,24,41,27
brass showpiece,teak wood,3.5,1,natural polish,rush,16300.0,84,19,67
teak rocking chair,engineered wood,12.2,1,matte,express,10000.0,12,53,89
bed frame,teak wood,31.9,3,melamine,express,87800.0,68,17,86
modular tv unit,glass,25.9,1,natural polish,rush,18300.0,54,40,31
steel bookshelf,sheesham wood,20.5,1,charcoal finish,express,20100.0,61,47,51
wooden chair,glass,42.1,1,natural polish,rush,32400.0,60,30,80
study desk,teak wood,42.7,2,pu polish,rush,84700.0,67,47,42
modular tv unit,teak wood,28.8,1,natural polish,express,24100.0,24,41,95
glass coffee table,aluminium,44.6,1,raw,rush,28300.0,67,37,15
wooden partition,sheesham wood,13.7,1,gloss,express,12900.0,38,18,30
lounge sofa,particle board,34.4,1,charcoal finish,express,24600.0,78,33,87
glass coffee table,glass,21.9,1,melamine,rush,23400.0,69,36,94
steel bookshelf,aluminium,15.5,3,charcoal finish,express,35500.0,61,29,26
wooden chair,brass,37.7,1,matte,express,31500.0,41,12,35
steel bookshelf,teak wood,29.2,1,raw,express,23500.0,26,55,66
teak rocking chair,aluminium,6.6,1,melamine,express,13200.0,58,32,82
wooden wardrobe,sheesham wood,2.5,1,charcoal finish,rush,14100.0,51,59,24
executive office chair,steel,27.2,1,gloss,standard,18600.0,64,46,70
teak rocking chair,iron,35.9,2,matte,rush,44100.0,41,20,90
modular tv unit,particle board,4.2,1,charcoal finish,rush,8900.0,69,30,70
teak rocking chair,teak wood,26.8,1,charcoal finish,express,21300.0,51,46,15
steel bookshelf,teak wood,11.0,1,pu polish,express,10400.0,19,56,31
wooden wardrobe,teak wood,36.8,1,pu polish,standard,26700.0,17,44,28
study desk,teak wood,31.4,3,charcoal finish,standard,71700.0,46,15,83
modular tv unit,engineered wood,41.9,1,pu polish,express,24200.0,70,59,32
executive office chair,cane,30.5,3,raw,rush,64300.0,26,28,77
glass coffee table,engineered wood,28.3,2,raw,rush,49400.0,43,57,58
brass showpiece,iron,25.1,1,matte,rush,17900.0,43,45,27
wooden partition,engineered wood,32.5,1,natural polish,express,22500.0,15,54,42
wooden wardrobe,sheesham wood,4.2,2,charcoal finish,rush,15700.0,42,18,59
glass coffee table,cane,24.8,1,gloss,standard,14900.0,68,25,44
brass showpiece,iron,42.6,1,natural polish,express,26200.0,56,32,83
bed frame,engineered wood,25.5,1,melamine,rush,21200.0,17,41,32
steel bookshelf,aluminium,32.0,1,raw,express,17700.0,74,12,25
wooden chair,particle board,7.7,1,natural polish,standard,8300.0,43,31,84
brass showpiece,aluminium,7.2,1,natural polish,standard,5500.0,71,21,28
brass showpiece,aluminium,41.4,1,natural polish,standard,21100.0,58,14,61
iron table,sheesham wood,36.6,1,charcoal finish,standard,25500.0,85,23,72
lounge sofa,glass,37.9,1,raw,express,25700.0,21,44,89
brass showpiece,cane,41.9,1,matte,express,25100.0,75,11,90
study desk,teak wood,35.9,1,natural polish,express,26000.0,70,35,30
wooden partition,aluminium,25.0,1,raw,standard,16100.0,15,48,16
wooden partition,sheesham wood,9.0,1,charcoal finish,rush,18700.0,57,49,26
wooden chair,sheesham wood,4.2,1,raw,standard,10500.0,19,14,94
steel bookshelf,cane,21.0,1,pu polish,express,21500.0,82,54,66
wooden partition,engineered wood,36.6,1,charcoal finish,express,23100.0,63,28,91
brass showpiece,engineered wood,31.2,1,melamine,standard,15100.0,81,45,16
wooden dining table,glass,16.8,4,charcoal finish,express,45500.0,24,52,76
wooden dining table,engineered wood,36.0,2,matte,rush,44400.0,30,47,84
